Firmware;Hits;Bandwidth
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-asus_rt-ac57u-squashfs-sysupgrade.bin;159;585.44 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c5-v1-squashfs-sysupgrade.bin;157;591.03 MB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-xiaomi_mi-router-ac2100-squashfs-rootfs0.bin;157;462.70 MB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-xiaomi_mir3p-squashfs-factory.bin;156;727.40 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr741nd-v4-squashfs-sysupgrade.bin;156;482.80 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-glinet_gl-ar150-squashfs-sysupgrade.bin;155;522.12 MB
/releases/19.07.4/targets/brcm63xx/generic/openwrt-19.07.4-brcm63xx-generic-A4001N-squashfs-cfe.bin;155;542.52 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr740n-v6-squashfs-factory.bin;155;449.45 MB
/releases/19.07.4/targets/ipq40xx/generic/openwrt-19.07.4-ipq40xx-generic-linksys_ea8300-squashfs-factory.bin;153;907.06 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wr842n-v2-squashfs-factory.bin;153;964.17 MB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-dlink_dir-882-a1-squashfs-factory.bin;153;668.62 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr941nd-v5-squashfs-sysupgrade.bin;153;408.53 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr841-v7-squashfs-factory.bin;153;446.87 MB
/releases/19.07.4/targets/brcm63xx/generic/openwrt-19.07.4-brcm63xx-generic-96358VW2-generic-squashfs-cfe.bin;151;378.99 MB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-mikrotik_rb750gr3-initramfs-kernel.bin;151;414.50 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-rt-n12p-squashfs-sysupgrade.bin;151;448.59 MB
/releases/19.07.4/targets/ipq40xx/generic/openwrt-19.07.4-ipq40xx-generic-linksys_ea6350v3-squashfs-sysupgrade.bin;150;561.37 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-netgear_wndr3700v2-squashfs-sysupgrade.bin;150;536.69 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wr842n-v1-squashfs-factory.bin;149;870.12 MB
/releases/19.07.4/targets/ipq40xx/generic/openwrt-19.07.4-ipq40xx-generic-avm_fritzbox-4040-squashfs-sysupgrade.bin;149;649.46 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-tl-mr6400-v1-squashfs-factory.bin;148;910.33 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c7-v1-squashfs-factory.bin;148;966.36 MB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-miwifi-nano-squashfs-sysupgrade.bin;147;423.32 MB
/releases/19.07.4/targets/ar71xx/mikrotik/openwrt-19.07.4-ar71xx-mikrotik-rb-nor-flash-16M-ac-initramfs-kernel.bin;143;465.62 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-tplink_tl-wr841n-v13-squashfs-tftp-recovery.bin;143;682.55 MB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-dlink_dir-878-a1-squashfs-factory.bin;143;641.80 MB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-zbt-wg3526-16M-squashfs-sysupgrade.bin;143;502.55 MB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tplink_tl-wa801nd-v5-squashfs-tftp-recovery.bin;141;815.07 MB
/releases/18.06.2/targets/ramips/mt7621/openwrt-18.06.2-ramips-mt7621-hc5962-squashfs-factory.bin;140;267.63 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wr710n-v1-squashfs-factory.bin;140;656.76 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-wt3020-8M-squashfs-sysupgrade.bin;140;490.15 MB
/releases/18.06.2/targets/ar71xx/tiny/openwrt-18.06.2-ar71xx-tiny-tl-wr841-v8-squashfs-factory.bin;139;479.13 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-tplink_tl-wr850n-v2-squashfs-tftp-recovery.bin;139;694.27 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-tplink_archer-c50-v4-squashfs-sysupgrade.bin;139;491.97 MB
/snapshots/targets/lantiq/xrx200/openwrt-lantiq-xrx200-bt_homehub-v5a-squashfs-sysupgrade.bin;138;725.56 MB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-hc5962-squashfs-factory.bin;138;411.11 MB
